{'timestamp': '2026-02-08T16:42:00.895049', 'level': 'WARN', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 267, 'status_code': 200}
{'timestamp': '2026-02-08T16:45:49.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Health check passed', 'latency_ms': 85, 'status_code': 200}
{'timestamp': '2026-02-08T16:45:54.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Health check passed', 'latency_ms': 117, 'status_code': 200}
{'timestamp': '2026-02-08T16:45:59.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Health check passed', 'latency_ms': 238, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:03.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Request processed successfully', 'latency_ms': 51, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:07.895049', 'level': 'WARN', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 204, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:08.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'User logged in', 'latency_ms': 286, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:09.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Cache hit', 'latency_ms': 153, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:11.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Cache hit', 'latency_ms': 169, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:12.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Health check passed', 'latency_ms': 120, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:14.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Cache hit', 'latency_ms': 190, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:19.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Cache hit', 'latency_ms': 131, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:22.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 272, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:23.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Health check passed', 'latency_ms': 112, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:26.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Cache hit', 'latency_ms': 130, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:30.895049', 'level': 'WARN', 'service': 'auth-service', 'message': 'Health check passed', 'latency_ms': 53, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:32.895049', 'level': 'WARN', 'service': 'auth-service', 'message': 'Request processed successfully', 'latency_ms': 70, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:36.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Request processed successfully', 'latency_ms': 178, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:39.895049', 'level': 'WARN', 'service': 'db-service', 'message': 'User logged in', 'latency_ms': 271, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:42.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 284, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:46.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Health check passed', 'latency_ms': 190, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:47.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Health check passed', 'latency_ms': 227, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:49.895049', 'level': 'WARN', 'service': 'auth-service', 'message': 'Health check passed', 'latency_ms': 174, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:51.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Health check passed', 'latency_ms': 167, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:56.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Request processed successfully', 'latency_ms': 100, 'status_code': 200}
{'timestamp': '2026-02-08T16:46:57.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Request processed successfully', 'latency_ms': 238, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:02.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Health check passed', 'latency_ms': 180, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:05.895049', 'level': 'ERROR', 'service': 'auth-service', 'message': 'Failed to authenticate user', 'latency_ms': 2885, 'status_code': 500}
{'timestamp': '2026-02-08T16:47:08.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Request processed successfully', 'latency_ms': 60, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:13.895049', 'level': 'ERROR', 'service': 'db-service', 'message': 'Unhandled exception occurred', 'latency_ms': 597, 'status_code': 503}
{'timestamp': '2026-02-08T16:47:16.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'User logged in', 'latency_ms': 240, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:21.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Request processed successfully', 'latency_ms': 245, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:24.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Request processed successfully', 'latency_ms': 297, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:25.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'User logged in', 'latency_ms': 206, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:27.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Health check passed', 'latency_ms': 58, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:28.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Request processed successfully', 'latency_ms': 291, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:31.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Request processed successfully', 'latency_ms': 277, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:34.895049', 'level': 'WARN', 'service': 'auth-service', 'message': 'Cache hit', 'latency_ms': 241, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:37.895049', 'level': 'WARN', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 93, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:39.895049', 'level': 'WARN', 'service': 'auth-service', 'message': 'Cache hit', 'latency_ms': 271, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:40.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Cache hit', 'latency_ms': 125, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:43.895049', 'level': 'ERROR', 'service': 'db-service', 'message': 'Service unavailable', 'latency_ms': 1562, 'status_code': 503}
{'timestamp': '2026-02-08T16:47:47.895049', 'level': 'WARN', 'service': 'api-gateway', 'message': 'Cache hit', 'latency_ms': 260, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:49.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Request processed successfully', 'latency_ms': 127, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:52.895049', 'level': 'WARN', 'service': 'auth-service', 'message': 'Request processed successfully', 'latency_ms': 136, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:54.895049', 'level': 'WARN', 'service': 'db-service', 'message': 'Request processed successfully', 'latency_ms': 121, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:55.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'User logged in', 'latency_ms': 118, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:56.895049', 'level': 'WARN', 'service': 'db-service', 'message': 'Cache hit', 'latency_ms': 162, 'status_code': 200}
{'timestamp': '2026-02-08T16:47:58.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 261, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:00.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'User logged in', 'latency_ms': 219, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:04.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'User logged in', 'latency_ms': 106, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:06.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Request processed successfully', 'latency_ms': 54, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:09.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Cache hit', 'latency_ms': 225, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:10.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Health check passed', 'latency_ms': 160, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:14.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'User logged in', 'latency_ms': 112, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:18.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Cache hit', 'latency_ms': 300, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:19.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Cache hit', 'latency_ms': 66, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:22.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Request processed successfully', 'latency_ms': 126, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:25.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Request processed successfully', 'latency_ms': 298, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:28.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Request processed successfully', 'latency_ms': 147, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:31.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Request processed successfully', 'latency_ms': 256, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:32.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'User logged in', 'latency_ms': 194, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:35.895049', 'level': 'WARN', 'service': 'db-service', 'message': 'User logged in', 'latency_ms': 220, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:38.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'User logged in', 'latency_ms': 221, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:40.895049', 'level': 'ERROR', 'service': 'api-gateway', 'message': 'Failed to authenticate user', 'latency_ms': 650, 'status_code': 502}
{'timestamp': '2026-02-08T16:48:41.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Cache hit', 'latency_ms': 181, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:42.895049', 'level': 'WARN', 'service': 'api-gateway', 'message': 'User logged in', 'latency_ms': 179, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:43.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Cache hit', 'latency_ms': 238, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:44.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Cache hit', 'latency_ms': 115, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:46.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Health check passed', 'latency_ms': 147, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:49.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Cache hit', 'latency_ms': 199, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:51.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Request processed successfully', 'latency_ms': 181, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:55.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Request processed successfully', 'latency_ms': 221, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:56.895049', 'level': 'ERROR', 'service': 'db-service', 'message': 'Failed to authenticate user', 'latency_ms': 1032, 'status_code': 502}
{'timestamp': '2026-02-08T16:48:57.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Request processed successfully', 'latency_ms': 98, 'status_code': 200}
{'timestamp': '2026-02-08T16:48:59.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Health check passed', 'latency_ms': 165, 'status_code': 200}
{'timestamp': '2026-02-08T16:49:02.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Request processed successfully', 'latency_ms': 151, 'status_code': 200}
{'timestamp': '2026-02-08T16:49:06.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Cache hit', 'latency_ms': 288, 'status_code': 200}
{'timestamp': '2026-02-08T16:49:07.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Cache hit', 'latency_ms': 184, 'status_code': 200}
{'timestamp': '2026-02-08T16:49:08.895049', 'level': 'ERROR', 'service': 'db-service', 'message': 'Failed to authenticate user', 'latency_ms': 1921, 'status_code': 503}
{'timestamp': '2026-02-08T16:49:10.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 95, 'status_code': 200}
{'timestamp': '2026-02-08T16:49:14.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'User logged in', 'latency_ms': 158, 'status_code': 200}
{'timestamp': '2026-02-08T16:49:16.895049', 'level': 'WARN', 'service': 'auth-service', 'message': 'Request processed successfully', 'latency_ms': 119, 'status_code': 200}
{'timestamp': '2026-02-08T16:49:21.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Cache hit', 'latency_ms': 213, 'status_code': 200}
{'timestamp': '2026-02-08T16:49:25.895049', 'level': 'ERROR', 'service': 'auth-service', 'message': 'Memory limit exceeded', 'latency_ms': 1341, 'status_code': 502}
{'timestamp': '2026-02-08T16:49:29.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Request processed successfully', 'latency_ms': 259, 'status_code': 200}
{'timestamp': '2026-02-08T16:49:34.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 108, 'status_code': 200}
{'timestamp': '2026-02-08T16:49:36.895049', 'level': 'ERROR', 'service': 'api-gateway', 'message': 'Database connection timeout', 'latency_ms': 2887, 'status_code': 500}
{'timestamp': '2026-02-08T16:49:41.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 259, 'status_code': 200}
{'timestamp': '2026-02-08T16:49:45.895049', 'level': 'WARN', 'service': 'auth-service', 'message': 'User logged in', 'latency_ms': 210, 'status_code': 200}
{'timestamp': '2026-02-08T16:49:48.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 213, 'status_code': 200}
{'timestamp': '2026-02-08T16:49:52.895049', 'level': 'ERROR', 'service': 'api-gateway', 'message': 'Unhandled exception occurred', 'latency_ms': 974, 'status_code': 502}
{'timestamp': '2026-02-08T16:49:54.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Request processed successfully', 'latency_ms': 176, 'status_code': 200}
{'timestamp': '2026-02-08T16:49:59.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Cache hit', 'latency_ms': 172, 'status_code': 200}
{'timestamp': '2026-02-08T16:50:01.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Cache hit', 'latency_ms': 93, 'status_code': 200}
{'timestamp': '2026-02-08T16:50:04.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Health check passed', 'latency_ms': 69, 'status_code': 200}
{'timestamp': '2026-02-08T16:50:07.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Cache hit', 'latency_ms': 239, 'status_code': 200}
{'timestamp': '2026-02-08T16:50:11.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 289, 'status_code': 200}
{'timestamp': '2026-02-08T16:50:15.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 267, 'status_code': 200}
{'timestamp': '2026-02-08T16:50:20.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'User logged in', 'latency_ms': 244, 'status_code': 200}
{'timestamp': '2026-02-08T16:50:21.895049', 'level': 'WARN', 'service': 'auth-service', 'message': 'Health check passed', 'latency_ms': 200, 'status_code': 200}
{'timestamp': '2026-02-08T16:50:23.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'User logged in', 'latency_ms': 199, 'status_code': 200}
{'timestamp': '2026-02-08T16:50:26.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Health check passed', 'latency_ms': 256, 'status_code': 200}
{'timestamp': '2026-02-08T16:50:31.895049', 'level': 'ERROR', 'service': 'db-service', 'message': 'Database connection timeout', 'latency_ms': 2629, 'status_code': 502}
{'timestamp': '2026-02-08T16:50:33.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Request processed successfully', 'latency_ms': 83, 'status_code': 200}
{'timestamp': '2026-02-08T16:50:38.895049', 'level': 'WARN', 'service': 'db-service', 'message': 'Request processed successfully', 'latency_ms': 246, 'status_code': 200}
{'timestamp': '2026-02-08T16:50:43.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'User logged in', 'latency_ms': 159, 'status_code': 200}
{'timestamp': '2026-02-08T16:50:44.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Request processed successfully', 'latency_ms': 65, 'status_code': 200}
{'timestamp': '2026-02-08T16:50:46.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'User logged in', 'latency_ms': 111, 'status_code': 200}
